,Unnamed: 0,text,star,original,cluster,action_cluster
155,155,"['nice', 'product', 'installation', 'also', 'good', 'go']",4,Nice product. Installation is also good. Go for it. 👍👍👍💯,1,1
166,166,"['nice', 'product', 'colling', 'perfect']",4,Nice 👍product colling is perfect,1,2
176,176,"['nice', 'air', 'conditioner']",4,"Nice air conditioner,",1,2
197,197,"['nice', 'product']",5,Nice product,1,1
448,448,"['nice', 'product']",4,Nice product,1,1
486,486,"['nice', 'ac']",5,Nice Ac 💯.,1,3
492,492,"['like', 'nice', 'product']",5,"I like , nice product 👍👍",1,2
712,712,"['nice', 'product', 'energy', 'efficiency']",4,Nice product Energy efficiency,1,1
715,715,"['value', 'money', 'nice']",4,value for money nice,1,1
721,721,['nice'],5,Very nice,1,1
728,728,"['nice', 'product']",5,Nice product 😃😁😃😁😃,1,1
799,799,"['nice', 'product', 'installation', 'also', 'good', 'go']",4,Nice product. Installation is also good. Go for it. 👍👍👍💯,1,1
810,810,"['nice', 'product', 'colling', 'perfect']",4,Nice 👍product colling is perfect,1,2
820,820,"['nice', 'air', 'conditioner']",4,"Nice air conditioner,",1,2
841,841,"['nice', 'product']",5,Nice product,1,1
1295,1295,"['nice', 'refrigerator']",3,Nice refrigerator,1,1
1296,1296,['nice'],3,Nice,1,1
1310,1310,['nice'],3,Nice,1,1
1324,1324,"['nice', 'product']",4,NICE PRODUCT,1,1
1330,1330,['nice'],4,Nice,1,1
1342,1342,['nice'],4,Nice,1,1
1365,1365,"['nice', 'product']",3,nice product,1,1
1367,1367,"['nice', 'pic']",3,Nice pic,1,2
1370,1370,['nice'],3,Very nice 👍,1,1
1371,1371,"['nice', 'rate', 'high']",3,Nice but rate is high,1,3
1379,1379,"['nice', 'product']",4,Very nice product,1,1
1385,1385,"['nice', 'product']",4,Nice product,1,1
1393,1393,"['nice', 'product']",4,Nice product,1,1
1396,1396,['nice'],4,Nice,1,1
1401,1401,['nice'],4,"Nice,",1,1
1402,1402,"['nice', 'overall']",4,its nice overall,1,1
1411,1411,['nice'],4,Nice,1,1
1414,1414,"['nice', 'product', 'flipkart', 'really', 'good']",4,"Nice product
Flipkart really good 😊",1,2
1418,1418,"['nice', 'go']",4,Nice... Go for it 👍👍😊,1,1
1429,1429,['nice'],4,Nice,1,1
1443,1443,"['nice', 'look']",4,Nice looking,1,3
1453,1453,"['nice', 'product']",4,Very nice product...,1,1
1461,1461,"['nice', 'product', 'lovedit']",5,Nice product lovedit,1,1
1463,1463,['nice'],5,Nice,1,1
1467,1467,"['good', 'product', 'nice']",5,"Very good product, nice",1,1
1468,1468,"['nice', 'product', 'like']",5,Nice product.... I like this.,1,2
