,Unnamed: 0,text,star,original,cluster,action_cluster
0,0,"['waste', 'money', 'ac', 'work', 'till', 'one', 'month', 'installation', 'instal', 'jeeves', 'company', 'authorize', 'lg', 'blame', 'one', 'another', 'request', 'purchase', 'flipkart', 'lie', 'waste', 'money', 'junk']",1,"Waste of money . AC not working till one month of installation. Installed by Jeeves company authorized from LG but both are blaming on one another
I request not to purchase from flipkart
As it lie there as waste of money
Junk",0,1
1,1,"['purchase', 'lg', 'april', 'the', 'horrible', 'experience', 'ever', 'work', 'even', 'run', 'room', 'hot', 'understand', 'ifb', 'ac', 'hometown', 'year', 'old', 'wear', 'blanket', 'even', 'put', 'degree', 'lg', 'ac', 'get', 'feel', 'iv', 'fool', 'nice', 'guy', 'normally', 'never', 'complain', 'thing', 'time', 'experience', 'really', 'disastrous', 'problem', 'ge', 'read']",1,"I purchased this LG A. C. on 17 April 23..The most horrible experience ever... My A. C. Is just not working... Even if I run it on 16 the room is hot.. I don't understand what is it .. I have an IFB ac in my hometown. It's 3 years old.. I have to wear a blanket even if I put it on 27 degree C..
But this LG AC.. I get a feeling that iv been fooled.. I'm a very nice guy.. Normally i never complain of things... But this time the experience has been really disastrous... I have problem when it ge...
READ MORE",0,5
2,2,"['want', 'buy', 'white', 'showpiece', 'bedroom', 'go', 'ahead', 'otherwise', 'big', 'bad', 'service', 'experience', 'flipkart', 'would', 'accept', 'returnexchange', 'need', 'indoor', 'unit', 'serious', 'water', 'leakage', 'issue', 'showpiece', 'use', 'bedside', 'shower']",1,"If you want to buy a white showpiece for your bedroom then go ahead otherwise BIG NO. Worst service experience. Flipkart would not accept return/exchange if you need to. The indoor unit has serious water leakage issues, so this showpiece can be used as bedside shower.",0,1
3,3,"['totally', 'waste', 'money', 'company', 'refund', 'money', 'per', 'policy', 'mention', 'purchase', 'use', 'put', 'store', 'room', 'thanks', 'flipkart']",1,Totally waste of money. company is not refund my money as per their policy which was not mentioned during purchase. That is why i am not using this and i have put it in the store room. thanks Flipkart 🙏🙏🙏,0,4
4,4,"['model', 'way', 'swing', 'actual', 'ton', 'cooling', 'capacity', 'cheat', 'sell', 'ton', 'compare', 'ac', 'brand']",1,"This model don't have 4 way swing, it's actual ton is 1.3 because it's cooling capacity is 4400w, they are cheating us and selling it as 1.5 ton compare with other ac brands",0,5
5,5,"['buy', 'product', 'flipkart', 'cool', 'ac', 'remote', 'stop', 'work', 'within', 'month']",1,"Do not buy any product from Flipkart
Not cooling
Ac remote stop working within a month",0,4
6,6,"['bad', 'service', 'flipkart', 'jeeves', 'wrong', 'instllation', 'do', 'indoor', 'outdoor', 'unit', 'continuous', 'water', 'leakage', 'indoor', 'unit', 'service', 'support', 'continously', 'follow', 'day', 'installation', 'still', 'positive', 'response']",1,"Worst service from flipkart and jeeves ,wrong instllation done of indoor and outdoor unit ,continuous water leakage from Indoor unit ,no service support as continously following up from day of installation ,still no positive response",0,1
7,7,"['ac', 'get', 'temperature', 'less']",1,My ac is not getting temperature less than 23,0,5
8,8,"['watter', 'leek', 'outdoor', 'pipe', 'line', 'indoor']",1,Watter leek in outdoor pipe line indoor,0,1
9,9,"['third', 'class', 'ac', 'slow', 'cooling']",1,Third class AC very very slow cooling,0,5
10,10,"['give', 'cool', 'instent', 'cool', 'satisfied', 'product']",1,Not giving cool instent cooling i m not satisfied with this product ....,0,5
11,11,"['please', 'buy', 'ac', 'cool']",1,Please do not buy from here. AC is not cooling at all.,0,5
12,12,"['energy', 'efficient', 'per', 'company', 'spoken']",1,Not energy efficient. Not as per company spoken.,0,1
13,13,"['installation', 'good', 'water', 'lekeage', 'issue', 'day']",1,"Installation not good, water lekeage issue after 10 days",0,1
14,14,"['work', 'week', 'cool', 'rate', 'drop', 'drastically', 'may', 'receive', 'defective', 'one']",1,It worked a week and cooling rate dropped drastically. May be I received the defective one.,0,1
16,16,"['energy', 'seving']",1,Not energy seving,0,1
17,17,"['plz', 'buy', 'work']",1,Plz don't buy ....it's not working,0,1
18,18,"['cool', 'heavy', 'electricity', 'bill', 'well', 'buy', 'bluestar', 'tonn', 'ac']",1,No cooling heavy electricity bill. Better to buy bluestar 1 tonn ac,0,5
19,19,"['product', 'nice', 'service', 'good', 'ac', 'cool', 'issue', 'resolve', 'company', 'installation', 'teamalso', 'know', 'lg', 'company', 'installation', 'tema', 'different', 'ensure', 'instal']",1,Product is very nice but service is not that good as my AC has cooling issue and not resolved by company or installation team..also known that the LG company and installation tema was different so ensure while installing,0,1
21,21,"['good', 'product', 'installation', 'service', 'partner', 'bad', 'installation', 'tacnician', 'unexperienced', 'thay', 'make', 'new', 'ac', 'old', 'ac', 'ac', 'cooling', 'room']",1,"Not a good product and installation by service partner is worst, installation tacnician is unexperienced . Thay made my new ac into old ac. Ac is not cooling room",0,1
26,26,"['please', 'get', 'lg', 'completely', 'fraud', 'flipkart', 'never', 'send', 'people', 'install', 'product', 'order', 'may', 'yet', 'recieved', 'person', 'install']",1,Please don't get this ..... LG is completely fraud and Flipkart never sends people to install this product.. we have ordered this on May 1 and we have not yet recieved a person to install the same..,0,1
27,27,"['cool', 'power', 'soo', 'poor']",1,It's cooling power is soo poor,0,5
